condition,model,mode,vocab,status,finished,valid,n_cases,valid_share,hit1,hit1_lo,hit1_hi,hit3,hit3_lo,hit3_hi,mrr3,mrr3_lo,mrr3_hi,recall3,recall3_lo,recall3_hi,precision3,precision3_lo,precision3_hi,f1,f1_lo,f1_hi,hit1_f,hit1_f_lo,hit1_f_hi,oov_rate,oov_rate_lo,oov_rate_hi,any_oov,any_oov_lo,any_oov_hi,total_oov,total_oov_lo,total_oov_hi,empty,empty_lo,empty_hi,precision3_n,hypotheses,share_correct,share_incorrect,share_oov,share_oov_lo,share_oov_hi,cat_no_oov_hit,cat_no_oov_miss,cat_partial_oov_hit,cat_partial_oov_miss,cat_total_oov,cat_empty
baseline:biomedclip-zeroshot,biomedclip-zeroshot,supervised,closed,complete,45,45,45,1.0,0.3111111111111111,0.17777777777777778,0.4444444444444444,0.6,0.4666666666666667,0.7333333333333333,0.43333333333333335,0.3111111111111111,0.5592592592592592,0.3288888888888889,0.2388888888888889,0.4225925925925926,0.274074074074074,0.2,0.34814814814814815,0.2863492063492064,0.21100529100529106,0.36137830687830685,0.3111111111111111,0.17777777777777778,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,135,0.2740740740740741,0.725925925925926,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0
baseline,densenet121-res224-all,supervised,closed,complete,45,45,45,1.0,0.3111111111111111,0.17777777777777778,0.4444444444444444,0.7111111111111111,0.5777777777777777,0.8444444444444444,0.4925925925925925,0.37777777777777777,0.6037037037037036,0.4014814814814815,0.30592592592592593,0.49703703703703694,0.3111111111111111,0.24444444444444444,0.37777777777777777,0.3367195767195767,0.26322619047619045,0.4098439153439154,0.3111111111111111,0.17777777777777778,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,135,0.3111111111111111,0.6888888888888889,0.0,0.0,0.0,0.7111111111111111,0.28888888888888886,0.0,0.0,0.0,0.0
baseline:densenet121-res224-chex,densenet121-res224-chex,supervised,closed,complete,45,45,45,1.0,0.2222222222222222,0.1111111111111111,0.35555555555555557,0.4888888888888889,0.3333333333333333,0.6444444444444445,0.34074074074074073,0.2296296296296296,0.4592592592592592,0.2288888888888889,0.15444444444444444,0.30704629629629615,0.2,0.1333333333333333,0.274074074074074,0.20761904761904762,0.14058201058201059,0.2775674603174603,0.2222222222222222,0.1111111111111111,0.35555555555555557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,135,0.2,0.8,0.0,0.0,0.0,0.4888888888888889,0.5111111111111111,0.0,0.0,0.0,0.0
baseline:densenet121-res224-mimic_ch,densenet121-res224-mimic_ch,supervised,closed,complete,45,45,45,1.0,0.24444444444444444,0.1111111111111111,0.37777777777777777,0.5555555555555556,0.4,0.6888888888888889,0.3851851851851852,0.27037037037037037,0.5037037037037037,0.2874074074074074,0.2037037037037037,0.37334259259259245,0.2518518518518518,0.17777777777777776,0.3259259259259259,0.26216931216931216,0.18693121693121695,0.3392592592592592,0.24444444444444444,0.1111111111111111,0.37777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,135,0.2518518518518518,0.7481481481481481,0.0,0.0,0.0,0.5555555555555556,0.4444444444444444,0.0,0.0,0.0,0.0
baseline:densenet121-res224-mimic_nb,densenet121-res224-mimic_nb,supervised,closed,complete,45,45,45,1.0,0.24444444444444444,0.13333333333333333,0.37777777777777777,0.4444444444444444,0.3111111111111111,0.6,0.3333333333333333,0.2148148148148148,0.45555555555555555,0.21962962962962965,0.14222222222222222,0.30296296296296293,0.2,0.1259259259259259,0.2740740740740741,0.20296296296296298,0.13248544973544976,0.2773571428571428,0.24444444444444444,0.13333333333333333,0.37777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,135,0.2,0.8,0.0,0.0,0.0,0.4444444444444444,0.5555555555555556,0.0,0.0,0.0,0.0
baseline:densenet121-res224-nih,densenet121-res224-nih,supervised,closed,complete,45,45,45,1.0,0.4444444444444444,0.3111111111111111,0.5777777777777777,0.7111111111111111,0.5777777777777777,0.8444444444444444,0.5555555555555556,0.4296296296296296,0.6814814814814815,0.3951851851851851,0.30407407407407405,0.4881481481481481,0.3185185185185186,0.24444444444444444,0.3999999999999999,0.33629629629629637,0.26322751322751325,0.40931481481481463,0.4444444444444444,0.3111111111111111,0.5777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,135,0.31851851851851853,0.6814814814814815,0.0,0.0,0.0,0.7111111111111111,0.28888888888888886,0.0,0.0,0.0,0.0
baseline:densenet121-res224-pc,densenet121-res224-pc,supervised,closed,complete,45,45,45,1.0,0.35555555555555557,0.2222222222222222,0.4888888888888889,0.5777777777777777,0.4222222222222222,0.7111111111111111,0.45185185185185184,0.32222222222222224,0.5814814814814814,0.35148148148148145,0.25073148148148144,0.457037037037037,0.3037037037037037,0.2148148148148148,0.3925925925925926,0.31576719576719575,0.22560846560846565,0.40719576719576717,0.35555555555555557,0.2222222222222222,0.4888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,135,0.3037037037037037,0.6962962962962963,0.0,0.0,0.0,0.5777777777777777,0.4222222222222222,0.0,0.0,0.0,0.0
baseline:resnet50-res512-all,resnet50-res512-all,supervised,closed,complete,45,45,45,1.0,0.4888888888888889,0.3333333333333333,0.6444444444444445,0.8222222222222222,0.7111111111111111,0.9333333333333333,0.6333333333333333,0.5185185185185186,0.7444444444444445,0.5333333333333334,0.4366666666666667,0.6288888888888888,0.4222222222222223,0.34074074074074073,0.5037037037037037,0.4506349206349207,0.3731732804232804,0.5259285714285714,0.4888888888888889,0.3333333333333333,0.6444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,135,0.4222222222222222,0.5777777777777777,0.0,0.0,0.0,0.8222222222222222,0.17777777777777778,0.0,0.0,0.0,0.0
gemma4-26b:zeroshot,gemma4-26b,zeroshot,open,complete,45,45,45,1.0,0.3333333333333333,0.2,0.4666666666666667,0.4666666666666667,0.3333333333333333,0.6222222222222222,0.3888888888888889,0.25925925925925924,0.5222222222222223,0.2596296296296296,0.1688888888888889,0.3611203703703702,0.3,0.19204545454545457,0.416685185185185,0.26181657848324513,0.16969973544973546,0.36470943562610236,0.4,0.26666666666666666,0.5333333333333333,0.24074074074074076,0.16666666666666666,0.3185185185185185,0.5333333333333333,0.4,0.6666666666666666,0.022222222222222223,0.0,0.06666666666666667,0.0,0.0,0.0,44,124,0.25,0.49193548387096775,0.25806451612903225,0.18253968253968253,0.3384615384615385,0.26666666666666666,0.2,0.2,0.3111111111111111,0.022222222222222223,0.0
gemma4-26b:clf_all,gemma4-26b,clf_all,open,complete,45,45,45,1.0,0.35555555555555557,0.2222222222222222,0.4888888888888889,0.5111111111111111,0.35555555555555557,0.6444444444444445,0.4185185185185185,0.28518518518518515,0.5518518518518518,0.29999999999999993,0.2037037037037037,0.39555555555555555,0.2713178294573644,0.17916666666666667,0.37025043554006953,0.26031746031746034,0.1765079365079365,0.34529365079365076,0.37777777777777777,0.24444444444444444,0.5111111111111111,0.17777777777777776,0.10370370370370369,0.2592592592592593,0.35555555555555557,0.2222222222222222,0.4888888888888889,0.044444444444444446,0.0,0.1111111111111111,0.0,0.0,0.0,43,133,0.2631578947368421,0.556390977443609,0.18045112781954886,0.1037037037037037,0.26356589147286824,0.4,0.24444444444444444,0.1111111111111111,0.2,0.044444444444444446,0.0
