experiment,model,mode,vocab,status,n,median_tokens_in,median_tokens_out,median_reasoning,median_wall_s,median_tool_calls,truncated_share
exp1,gemma4-26b,zeroshot,open,complete,45,452.0,249.0,0.0,16.21,0,0.0
exp1,gemma4-26b,clf_all,open,complete,45,664.0,256.0,0.0,9.08,0,0.0
exp1,gemma4-26b,clf_pc,open,complete,45,664.0,252.0,0.0,12.2,0,0.0
exp1,gemma4-26b,single,open,complete,45,1294218.0,13912.0,38.0,1026.1,63.0,
exp1,gemma4-26b,council,open,in_progress,0,,,,,,
exp1,qwen3.6-27b,zeroshot,open,complete,45,1219.0,1343.0,1091.0,13.48,0,0.0
exp1,qwen3.6-27b,clf_all,open,complete,45,1437.0,1852.0,1583.0,9.72,0,0.0
exp1,qwen3.6-27b,clf_pc,open,complete,45,1438.0,1936.0,1600.0,9.37,0,0.0
exp1,qwen3.6-27b,single,open,complete,43,3936487.0,31948.0,6491.0,941.9,104.0,
exp1,qwen3.6-27b,council,open,in_progress,0,,,,,,
exp1,qwen3.8-27b,zeroshot,open,complete,45,1261.0,1077.0,615.0,24.37,0,0.0
exp1,qwen3.8-27b,clf_all,open,complete,45,1479.0,1154.0,738.0,22.38,0,0.0
exp1,qwen3.8-27b,clf_pc,open,complete,45,1480.0,1234.0,786.0,31.64,0,0.0
exp1,qwen3.8-27b,single,open,in_progress,11,16097656.0,60234.0,49261.0,1465.7,179.0,
exp1,qwen3.8-27b,council,open,in_progress,0,,,,,,
exp2,gemma4-26b,zeroshot,open,complete,48,604.0,387.0,0.0,14.45,0,0.0
exp2,gemma4-26b,single,open,in_progress,27,972521.0,9770.0,36.0,306.1,52.0,
exp2,gemma4-26b,council,open,in_progress,0,,,,,,
exp2,qwen3.6-27b,zeroshot,open,complete,48,1371.0,3392.5,2957.0,17.655,0,0.0
exp2,qwen3.6-27b,single,open,in_progress,17,3827351.0,30945.0,5627.0,639.0,104.0,
exp2,qwen3.6-27b,council,open,in_progress,0,,,,,,
exp2,qwen3.8-27b,zeroshot,open,complete,48,1409.0,1698.5,970.0,31.7,0,0.0
exp2,qwen3.8-27b,single,open,in_progress,0,,,,,,
exp2,qwen3.8-27b,council,open,in_progress,0,,,,,,
exp1,gemma4-26b,zeroshot,closed,complete,45,541.0,199.0,0.0,10.74,0,0.0
exp1,gemma4-26b,clf_all,closed,complete,45,753.0,221.0,0.0,13.92,0,0.0
exp1,gemma4-26b,clf_pc,closed,complete,45,753.0,217.0,0.0,17.37,0,0.0
exp1,gemma4-26b,single,closed,in_progress,0,,,,,,
exp1,gemma4-26b,council,closed,in_progress,0,,,,,,
exp1,qwen3.6-27b,zeroshot,closed,complete,45,1317.0,2616.0,2424.0,12.94,0,0.0
exp1,qwen3.6-27b,clf_all,closed,complete,45,1535.0,3754.0,3498.0,18.94,0,0.0
exp1,qwen3.6-27b,clf_pc,closed,complete,45,1536.0,4861.0,4623.0,25.88,0,0.0
exp1,qwen3.6-27b,single,closed,in_progress,0,,,,,,
exp1,qwen3.6-27b,council,closed,in_progress,0,,,,,,
exp1,qwen3.8-27b,zeroshot,closed,complete,45,1359.0,1379.0,991.0,34.82,0,0.0
exp1,qwen3.8-27b,clf_all,closed,complete,45,1577.0,1577.0,1196.0,27.77,0,0.0
exp1,qwen3.8-27b,clf_pc,closed,complete,45,1578.0,1653.0,1284.0,41.71,0,0.0
exp1,qwen3.8-27b,single,closed,in_progress,0,,,,,,
exp1,qwen3.8-27b,council,closed,in_progress,0,,,,,,
exp2,gemma4-26b,zeroshot,closed,complete,48,741.0,276.0,0.0,11.815,0,0.0
exp2,gemma4-26b,single,closed,in_progress,0,,,,,,
exp2,gemma4-26b,council,closed,in_progress,0,,,,,,
exp2,qwen3.6-27b,zeroshot,closed,complete,48,1523.0,4364.0,4092.0,19.86,0,0.0
exp2,qwen3.6-27b,single,closed,in_progress,0,,,,,,
exp2,qwen3.6-27b,council,closed,in_progress,0,,,,,,
exp2,qwen3.8-27b,zeroshot,closed,complete,48,1561.0,1617.0,1143.5,40.455,0,0.0
exp2,qwen3.8-27b,single,closed,in_progress,0,,,,,,
exp2,qwen3.8-27b,council,closed,in_progress,0,,,,,,
